FCCODE,NAME,TOWN,FTC,FVNO,FVDATE,DESCRIP,CREDIT,DEBIT,INVDATE,SHCODE
9999,CASH SALES A/C,,SI,203,03/04/2019,To Credit Sales,0.00,3631.00,03/04/2019,A005
9999,CASH SALES A/C,,SI,204,03/04/2019,To Credit Sales,0.00,499.00,03/04/2019,A005
9999,CASH SALES A/C,,SI,205,03/04/2019,To Credit Sales,0.00,353.00,03/04/2019,A005
9999,CASH SALES A/C,,SI,206,03/04/2019,To Credit Sales,0.00,863.00,03/04/2019,A005
9999,CASH SALES A/C,,SI,207,03/04/2019,To Credit Sales,0.00,1190.00,03/04/2019,A005
9999,CASH SALES A/C,,SI,208,03/04/2019,To Credit Sales,0.00,502.00,03/04/2019,A005
9999,CASH SALES A/C,,SI,209,04/04/2019,To Credit Sales,0.00,122.00,04/04/2019,A005
9999,CASH SALES A/C,,SI,210,04/04/2019,To Credit Sales,0.00,1126.00,04/04/2019,A005
9999,CASH SALES A/C,,SI,211,04/04/2019,To Credit Sales,0.00,3980.00,04/04/2019,A005
9999,CASH SALES A/C,,SI,212,04/04/2019,To Credit Sales,0.00,342.00,04/04/2019,A005
9999,CASH SALES A/C,,SI,213,04/04/2019,To Credit Sales,0.00,2112.00,04/04/2019,A005
9999,CASH SALES A/C,,SI,214,04/04/2019,To Credit Sales,0.00,705.00,04/04/2019,A005
9999,CASH SALES A/C,,SI,215,04/04/2019,To Credit Sales,0.00,2155.00,04/04/2019,A005
9999,CASH SALES A/C,,SI,216,04/04/2019,To Credit Sales,0.00,492.00,04/04/2019,A005
9999,CASH SALES A/C,,SI,217,04/04/2019,To Credit Sales,0.00,661.00,04/04/2019,A005
9999,CASH SALES A/C,,SI,218,04/04/2019,To Credit Sales,0.00,1100.00,04/04/2019,A005
9999,CASH SALES A/C,,SI,219,04/04/2019,To Credit Sales,0.00,4299.00,04/04/2019,A005
9999,CASH SALES A/C,,SI,220,04/04/2019,To Credit Sales,0.00,620.00,04/04/2019,A005
9999,CASH SALES A/C,,SI,221,04/04/2019,To Credit Sales,0.00,279.00,04/04/2019,A005
9999,CASH SALES A/C,,SI,222,04/04/2019,To Credit Sales,0.00,1271.00,04/04/2019,A005
9999,CASH SALES A/C,,SI,223,04/04/2019,To Credit Sales,0.00,358.00,04/04/2019,A005
9999,CASH SALES A/C,,SI,224,04/04/2019,To Credit Sales,0.00,166.00,04/04/2019,A005
9999,CASH SALES A/C,,SI,225,04/04/2019,To Credit Sales,0.00,348.00,04/04/2019,A005
9999,CASH SALES A/C,,SI,226,04/04/2019,To Credit Sales,0.00,191.00,04/04/2019,A005
9999,CASH SALES A/C,,SI,227,04/04/2019,To Credit Sales,0.00,244.00,04/04/2019,A005
